id,lang,kniha,kapitola,hlava,suradnice_pismo,nazov_biblia_1,biblia_1,biblia_1_audio,nazov_biblia_2,biblia_2,biblia_2_audio,nazov_biblia_3,biblia_3,biblia_3_audio,lectio_text,lectio_audio,meditatio_text,meditatio_audio,oratio_text,oratio_audio,contemplatio_text,contemplatio_audio,actio_text,actio_audio,modlitba_zaver,audio_5_min,created_at,updated_at,rok,id_cislo,reference,locale_id,checked
2,sk,Lk,2,PRIKÁZANÝ SVIATOK: Panny Márie Bohorodičky (slávnosť),"Lk 2,16-21",Katolícky preklad,"Poponáhľali sa a našli Máriu a Jozefa i dieťa uložené v jasliach. Keď ich videli, vyrozprávali, čo im bolo povedané o tomto dieťati. A všetci, ktorí to počúvali, divili sa nad tým, čo im pastieri rozprávali. Ale Mária zachovávala všetky tieto slová vo svojom srdci a premýšľala o nich. Pastieri sa potom vrátili a oslavovali a chválili Boha za všetko, čo počuli a videli, ako im bolo povedané. Po ôsmich dňoch, keď ho bolo treba obrezať, dali mu meno Ježiš, ktorým ho anjel nazval skôr, ako sa počal v živote matky.",https://unnijykbupxguogrkolj.supabase.co/storage/v1/object/public/audio-files/lectio/2/biblia_1_audio_sk_1759420760998.mp3,Slovenský ekumenický preklad,"Poponáhľali sa a našli Máriu a Jozefa i dieťa uložené v jasliach. Keď ich videli, vyrozprávali, čo im bolo povedané o tomto dieťati. A všetci, ktorí to počúvali, divili sa nad tým, čo im pastieri rozprávali. Ale Mária zachovávala všetky tieto slová vo svojom srdci a premýšľala o nich. Pastieri sa potom vrátili a oslavovali a chválili Boha za všetko, čo počuli a videli, ako im bolo povedané. Po ôsmich dňoch, keď ho bolo treba obrezať, dali mu meno Ježiš, ktorým ho anjel nazval skôr, ako sa počal v živote matky.",,Jeruzalemská Biblia,"Poponáhľali sa a našli Máriu a Jozefa i dieťa uložené v jasliach. Keď ich videli, vyrozprávali, čo im bolo povedané o tomto dieťati. A všetci, ktorí to počúvali, divili sa nad tým, čo im pastieri rozprávali. Ale Mária zachovávala všetky tieto slová vo svojom srdci a premýšľala o nich. Pastieri sa potom vrátili a oslavovali a chválili Boha za všetko, čo počuli a videli, ako im bolo povedané. Po ôsmich dňoch, keď ho bolo treba obrezať, dali mu meno Ježiš, ktorým ho anjel nazval skôr, ako sa počal v živote matky.",,"Pastieri prichádzajú do Betlehema a nachádzajú presne to, čo im bolo povedané: Máriu, Jozefa a dieťa uložené v jasliach. Tí, ktorí boli na okraji spoločnosti, stávajú sa prvými svedkami narodenia Spasiteľa. Evanjelium tu kladie vedľa seba dva kontrasty: veľkosť Božieho daru a poníženosť jeho príchodu. Boh prichádza do chudoby, do ticha, do prostredia, kde by ho nik nečakal, a zjavuje sa tým, ktorí nemajú v očiach sveta vážnosť. Odpoveď pastierov je jednoduchá a čistá – radostne rozprávajú, čo počuli a videli, a oslavujú Boha. Uprostred toho Mária mlčí. Ona, ktorá vie najviac, počúva a zachováva slová vo svojom srdci. Jej ticho nie je prázdne, ale je to vnútorný priestor, v ktorom dozrieva Božie tajomstvo. Ježiš, obrezaný a pomenovaný na ôsmy deň, vstupuje do dejín Izraela a stáva sa tým, ktorým ho Boh už vopred nazval – Ježiš, Spasiteľ.",,"Narodenie Ježiša ma učí, že Boh prichádza tam, kde ho najmenej čakám. Prichádza do chudoby, do nehostinných miest, do jednoduchosti, ktorá nezaujme mocných, ale otvára oči tým, čo hľadajú. Pastieri sú pre mňa obrazom otvorenosti – hoci ich svet považoval za nedôležitých, oni uverili anjelom a vydali sa na cestu. A Mária je obrazom vnútorného ticha – nehovorí, ale počúva a premýšľa. Aj ja potrebujem menej hovoriť a viac počúvať, aby som v tichu svojho srdca zachytil Boží hlas.",,"Pane, daj mi pokoru pastierov, aby som sa vedel tešiť z jednoduchých znamení Tvojej prítomnosti. Daj mi ticho Márie, aby som Tvoje slovo nezahlušil vlastnými rečami, ale uchovával ho vo svojom srdci a nechal, aby ma premieňalo.",https://unnijykbupxguogrkolj.supabase.co/storage/v1/object/public/audio-files/lectio/2/oratio_audio_sk_1759425506287.mp3,"V tichu sa dívam na jasle – na Dieťa, ktoré je Bohom. Nechávam v sebe doznieť radostné posolstvo: Boh je tu, prišiel v skrytosti, aby bol blízko každému. A moje srdce sa napĺňa pokojom.",,"""Ale Mária zachovávala všetky tieto slová vo svojom srdci a premýšľala o nich."" ",,,,2025-06-28T15:42:15.379828+00:00,2025-06-28T15:42:15.379828+00:00,N,51,"(Lk 2,19)",1,0
9,sk,Mt,24,1. adventná nedeľa,"Mt 24, 37-44",Katolícky preklad,"Ako bolo za dní Noema, tak bude aj pri príchode Syna človeka. Ako v dňoch pred potopou ľudia jedli a pili, ženili sa a vydávali až do toho dňa, keď Noe vošiel do korába, a nič nezbadali, až prišla potopa a zmietla všetkých, tak bude aj pri príchode Syna človeka. Vtedy budú na poli dvaja: jeden bude vzatý, druhý sa ponechá. Dve budú mlieť na mlyne: jedna bude vzatá, druhá sa ponechá. Bdejte teda, lebo neviete, v ktorý deň príde váš Pán. Uvážte predsa: Keby hospodár vedel, v ktorú nočnú hodinu príde zlodej, veruže by bdel a nedovolil by mu vniknúť do svojho domu. Preto aj vy buďte pripravení, lebo Syn človeka príde v hodinu, o ktorej neviete.",,Jeruzalemská Biblia,"Ako bolo za dní Noema, tak bude aj pri príchode Syna človeka. Ako v dňoch pred potopou ľudia jedli a pili, ženili sa a vydávali až do toho dňa, keď Noe vošiel do korába, a nič nezbadali, až prišla potopa a zmietla všetkých, tak bude aj pri príchode Syna človeka. Vtedy budú na poli dvaja: jeden vzatý, druhý ponechaný. Dve budú mlieť na mlyne: jedna bude vzatá, druhá ponechaná. Bdejte teda, lebo neviete, v ktorý deň príde váš Pán. Uvedomte si: keby hospodár vedel, v ktorú nočnú hodinu príde zlodej, bdel by a nedal by mu vlámať sa do domu. Preto aj vy buďte pripravení, lebo Syn človeka príde v hodinu, o ktorej neviete.",,Slovenský ekumenický preklad,"Lebo ako bolo za dní Noacha, tak bude aj pri príchode Syna človeka. Ako totiž v dňoch pred potopou ľudia jedli a pili, ženili sa a vydávali až do toho dňa, keď Noach vošiel do korábu, a nič nebadali, až prišla potopa a zmietla všetkých, tak bude aj pri príchode Syna človeka. Vtedy dvaja budú na poli: jeden bude vzatý a druhý ponechaný. Dve ženy budú mlieť na mlyne: jedna bude vzatá a druhá ponechaná. Bdejte teda, lebo neviete, v ktorý deň príde váš Pán. Uvedomte si predsa: Keby hospodár vedel, počas ktorej nočnej stráže príde zlodej, bdel by a nedovolil by mu vniknúť do svojho domu. Preto aj vy buďte pripravení, lebo Syn človeka príde v hodinu, o ktorej sa nenazdáte.",,,,,,,,,,,,,,2025-06-28T17:01:16.582169+00:00,2025-06-28T17:01:16.582169+00:00,A,1,,1,0
10,sk,Mt,24,1. adventná nedeľa,"Mt 13, 33-37",Katolícky preklad,"Ďalšie podobenstvo im povedal: ""Nebeské kráľovstvo sa podobá kvasu, ktorý žena vezme a vmiesi do troch mier múky, až sa všetko prekvasí."" Toto všetko hovoril Ježiš zástupom v podobenstvách. Bez podobenstva im nehovoril nič, aby sa splnilo, čo predpovedal prorok: ""Otvorím svoje ústa v podobenstvách, vyrozprávam, čo bolo skryté od stvorenia sveta."" Potom rozpustil zástupy a vošiel do domu. Tu k nemu pristúpili jeho učeníci a vraveli mu: ""Vysvetli nám podobenstvo o kúkoli na roli."" On im povedal: ""Rozsievač dobrého semena je Syn človeka.",,Jeruzalemská Biblia,"Ďalšie podobenstvo im povedal: ""Nebeské kráľovstvo sa podobá kvasu, ktorý žena vezme a zamiesi do troch mier múky, až sa všetko prekvasí."" Toto všetko hovoril Ježiš zástupom v podobenstvách. Bez podobenstva im nehovoril nič, aby sa splnilo, čo predpovedal prorok: Otvorím si ústa v podobenstvách, vyrozprávam, čo bolo skryté od stvorenia sveta. Potom opustil zástupy a vošiel do domu. Tu k nemu pristúpili jeho učeníci a hovorili mu: ""Vysvetli nám podobenstvo o kúkoli na roli."" On im povedal: ""Rozsievač dobrého semena je Syn človeka.",,Slovenský ekumenický preklad,"Povedal im ďalšie podobenstvo: „Nebeské kráľovstvo je podobné kvasu, ktorý vzala žena a zamiesila do troch mier múky, takže všetko vykvasilo.“ Toto všetko hovoril Ježiš zástupom v podobenstvách. Bez podobenstiev im nehovoril nič, aby sa splnilo, čo bolo povedané ústami proroka: Otvorím svoje ústa v podobenstvách, vyrozprávam, čo bolo skryté od založenia sveta. Vtedy rozpustil zástupy a vošiel do domu. Tam prišli za ním jeho učeníci a prosili ho: „Vysvetli nám podobenstvo o kúkoli na poli.“ On im odpovedal: „Ten, kto seje dobré semeno, je Syn človeka",,,,,,,,,,,,,,2025-06-28T17:02:34.539551+00:00,2025-06-28T17:02:34.539551+00:00,B,2,,1,0
11,sk,Lk,21,1. adventná nedeľa,"Lk 21, 25-28. 34-36",Katolícky preklad,"Budú znamenia na slnku a mesiaci i na hviezdach a na zemi budú národy plné úzkosti a zmätku z hukotu mora a vlnobitia. Ľudia budú zmierať od strachu a očakávania toho, čo príde na svet, lebo nebeské mocnosti sa budú chvieť. Vtedy uvidia Syna človeka prichádzať v oblaku s mocou a veľkou slávou. Keď sa to začne diať, vzpriamte sa, zodvihnite hlavu, lebo sa blíži vaše vykúpenie."" Dávajte si pozor, aby vaše srdcia neoťaželi obžerstvom, opilstvom a starosťami o tento život, aby vás onen deň neprekvapil. Lebo príde ako osídlo na všetkých, čo bývajú na povrchu celej zeme. Preto bdejte celý čas a modlite sa, aby ste mohli uniknúť všetkému tomu, čo má prísť, a postaviť sa pred Syna človeka.""",,Jeruzalemská Biblia,"Budú znamenia na slnku, mesiaci a na hviezdach. Národy na zemi budú plné úzkosti, bezradné, pre hukot mora a vlnobitia. Ľudia budú zmierať od strachu a od očakávania toho, čo príde na celý svet, lebo nebeské mocnosti sa budú chvieť. Vtedy uvidia Syna človeka prichádzať s veľkou mocou a slávou. Keď sa to začne diať, zastaňte si rovno a zodvihnite hlavu, lebo vaše vyslobodenie je blízko."" Dávajte si pozor, aby vaše srdcia neoťaželi obžerstvom, opilstvom a starosťami o tento život, aby vás ten deň neprekvapil ako osídlo. Lebo padne na všetkých, čo bývajú na celej zemi. Preto bdejte a modlite sa celý čas, aby ste mohli uniknúť všetkému, čo má prísť, a obstáť pred Synom človeka.""",,Slovenský ekumenický preklad,"Na slnku, na mesiaci i na hviezdach budú znamenia. Národy na zemi budú plné úzkosti a zmätku z burácania mora a vlnobitia. Ľudia budú zmierať strachom a očakávaním toho, čo príde na svet, lebo nebeské mocnosti sa budú chvieť. Vtedy uvidia Syna človeka prichádzať v oblaku s veľkou mocou a slávou. Keď sa toto začne diať, vzpriamte sa, zodvihnite hlavy, lebo sa blíži vaše vykúpenie.“ Dávajte si pozor, aby vaše srdcia neoťaželi obžerstvom, opilstvom a starosťami o tento život, aby vás ten deň neprekvapil; príde totiž ako osídlo na všetkých, čo bývajú na povrchu celej zeme. Preto bdejte celý čas a modlite sa, aby ste mali silu uniknúť všetkému, čo má prísť, a postaviť sa pred Syna človeka.“",,,,,,,,,,,,,,2025-06-28T17:03:42.854599+00:00,2025-06-28T17:03:42.854599+00:00,C,3,,1,0
16,sk,Mt,8,Pondelok po 1. adventnej nedeli,"Mt8,5-11",Katolícky preklad (SSV),"Keď potom vošiel do Kafarnauma, pristúpil k nemu stotník s prosbou: ""Pane, sluha mi leží doma ochrnutý a hrozne trpí."" On mu povedal: ""Prídem a uzdravím ho."" Stotník mu odpovedal: ""Pane, nie som hoden, aby si vošiel pod moju strechu, ale povedz iba slovo a môj sluha ozdravie. Veď aj ja som podriadený človek a mám pod sebou vojakov. Ak daktorému poviem: “Choď!” - ide; inému: “Poď sem!” - tak príde; a svojmu sluhovi: “Urob toto!” - on to urobí."" Keď to Ježiš počul, zadivil sa a tým, čo ho sprevádzali, povedal: ""Veru, hovorím vám: Takú vieru som nenašiel u nikoho v Izraeli. Hovorím vám, že prídu mnohí od východu i západu a budú stolovať s Abrahámom, Izákom a Jakubom v nebeskom kráľovstve.",,Jeruzalemská biblia,"Keď vošiel do Kafarnauma, prišiel k nemu stotník s prosbou: ""Pane, chlapec mi leží doma ochrnutý a hrozne trpí."" On mu povedal: ""Prídem a uzdravím ho."" Ale stotník odpovedal: ""Pane, nie som hoden, aby si vošiel pod moju strechu, ale povedz iba slovo a moje dieťa ozdravie. Veď aj ja som človek podriadený a mám pod sebou vojakov. Ak niektorému poviem: Choď – ide; inému: Poď sem! – príde; a svojmu sluhovi: Urob toto! – a urobí."" Keď to Ježiš počul, zadivil sa a tým, čo ho sprevádzali, povedal: ""Veru, hovorím vám: Takú vieru som nenašiel u nikoho v Izraeli. Hovorím vám, že mnohí prídu od východu a od západu a budú stolovať s Abrahámom, Izákom a Jakubom v nebeskom kráľovstve.",,Ekumenický preklad,"Keď vošiel do Kafarnauma, prišiel k nemu stotník a prosil ho: „Pane, môj sluha leží doma ochrnutý a hrozne sa trápi.“ Ježiš mu odpovedal: „Prídem a uzdravím ho.“ Stotník mu na to povedal: „Pane, nie som hoden, aby si vošiel pod moju strechu. Ale povedz iba slovo a môj sluha ozdravie. Veď aj ja som podriadený človek a mne sú zasa podriadení vojaci. Keď poviem jednému: ‚Choď!‘, tak ide, a druhému: ‚Poď!‘, tak príde, a svojmu sluhovi: ‚Urob to!‘, tak to urobí.“ Keď to Ježiš počul, začudoval sa a povedal tým, čo išli za ním: „Amen, hovorím vám, že u nikoho v Izraeli som nenašiel takú veľkú vieru. No hovorím vám, že mnohí prídu od východu i západu a budú stolovať s Abrahámom, Izákom a Jákobom v nebeskom kráľovstve.",,,,,,,,,,,,,,2025-06-28T17:19:03.295057+00:00,2025-06-28T17:19:03.295057+00:00,N,4,,1,0
17,sk,Lk,10,Utorok po 1. adventnej nedeli,"Lk10,21-24",Katolícky preklad (SSV),"V tej hodine zaplesal v Duchu Svätom a povedal: ""Zvelebujem ťa, Otče, Pán neba i zeme, že si tieto veci skryl pred múdrymi a rozumnými a zjavil si ich maličkým. Áno, Otče, tebe sa tak páčilo. Môj Otec mi odovzdal všetko. A nik nevie, kto je Syn, iba Otec, ani kto je Otec, iba Syn a ten, komu to Syn bude chcieť zjaviť.""
Potom sa obrátil osobitne k učeníkom a povedal: ""Blahoslavené oči, ktoré vidia, čo vidíte vy. Lebo hovorím vám: Mnohí proroci a králi chceli vidieť, čo vidíte vy, ale nevideli, a počuť, čo vy počúvate, ale nepočuli.""",,Jeruzalemská biblia,"V tej hodine zaplesal v Duchu Svätom a povedal: ""Zvelebujem ťa, Otče, Pán neba i zeme, že si toto skryl pred múdrymi a učenými a zjavil si to maličkým. Áno, Otče, lebo tebe sa tak páčilo. Môj otec mi odovzdal všetko. A nik nevie, kto je Syn, iba Otec, ani kto je Otec, iba Syn a ten, komu to Syn bude chcieť zjaviť.""
Potom sa obrátil osobitne k učeníkom a povedal: ""Blažené oči, ktoré vidia, čo vidíte vy. Lebo hovorím vám: Mnohí proroci a králi chceli vidieť, čo vidíte vy, ale nevideli, a počuť, čo vy počúvate, ale nepočuli.""",,Ekumenický preklad,"V tej hodine zaplesal Ježiš v Duchu Svätom a povedal: „Velebím ťa, Otče, Pán neba a zeme, že si toto skryl pred múdrymi a rozumnými a zjavil si to maličkým. Áno, Otče, tak sa ti to zapáčilo. Môj Otec mi odovzdal všetko. A nik nevie, kto je Syn, iba Otec. Ani kto je Otec, iba Syn a ten, komu to Syn bude chcieť zjaviť.“ Potom sa obrátil osobitne k učeníkom a povedal: „Blahoslavené oči, ktoré vidia, čo vy vidíte, lebo hovorím vám: Mnohí proroci a králi chceli vidieť, čo vy vidíte, ale nevideli, a počuť, čo vy počujete, ale nepočuli.“",,,,,,,,,,,,,,2025-06-28T17:20:27.13556+00:00,2025-06-28T17:20:27.13556+00:00,N,5,,1,0
18,sk,Mt,15,Streda po 1. adventnej nedeli,"Mt15,29-37",Katolícky preklad (SSV),"Keď odtiaľ Ježiš odišiel, prišiel ku Galilejskému moru, vystúpil na vrch a tam si sadol. Prichádzali k nemu celé zástupy, ktoré mali so sebou chromých, slepých, mrzákov, nemých a mnohých iných. Kládli mu ich k nohám a on ich uzdravoval. A zástupy žasli, keď videli, že nemí hovoria, mrzáci sú zdraví, chromí chodia a slepí vidia, a velebili Boha Izraela.
Ježiš zvolal svojich učeníkov a povedal: ""Ľúto mi je zástupu, lebo už tri dni sa zdržiavajú pri mne a nemajú čo jesť. A nechcem ich prepustiť hladných, aby nepoomdlievali na ceste."" Učeníci mu povedali: ""Kdeže vezmeme na púšti toľko chleba, aby sme nasýtili takýto zástup?"" Ježiš sa ich opýtal: ""Koľko máte chlebov?"" Oni odpovedali: ""Sedem a zopár rybiek."" Tu rozkázal zástupu, aby si posadal na zem. Vzal sedem chlebov a ryby, vzdával vďaky, lámal a dával učeníkom a učeníci zástupom. Všetci jedli a nasýtili sa. A nazbierali sedem plných košov zvyšných odrobín.",,Jeruzalemská biblia,"Keď odtiaľ Ježiš odišiel, prišiel ku Galilejskému moru, vystúpil na vrch a tam si sadol. Prichádzali k nemu celé zástupy, ktoré mali so sebou chromých, slepých, mrzákov, nemých a mnoho iných chorých. Kládli ich k jeho nohám a on ich uzdravoval. A zástupy žasli, keď videli, že nemí hovoria, mrzáci sú zdraví, chromí chodia a slepí vidia, a velebili Boha Izraela.
Ježiš si zavolal svojich učeníkov a povedal: ""Ľúto mi je zástupu, lebo už tri dni sú pri mne a nemajú čo jesť. Nechcem ich prepustiť hladných, aby nepoomdlievali na ceste."" Učeníci mu povedali: ""Kde vezmeme na púšti toľko chleba, aby sme nasýtili toľký zástup?"" Ježiš sa ich spýtal: ""Koľko máte chlebov?"" Oni odpovedali: ""Sedem a zopár rybiek."" Nato rozkázal zástupu, aby si posadal na zem. Vzal sedem chlebov a ryby, vzdával vďaky, lámal a dával učeníkom a učeníci zástupu. Všetci jedli a nasýtili sa. A nazbierali sedem plných košov zvyšných odrobín.",,Ekumenický preklad,"Keď Ježiš odtiaľ odišiel, prišiel ku Galilejskému moru. Vystúpil na vrch a tam si sadol. Prišli k nemu veľké zástupy, ktoré mali so sebou chromých, mrzákov, slepých, nemých a mnoho iných. Kládli mu ich k nohám a on ich uzdravoval. Ľudia sa čudovali, keď videli, že nemí hovoria, mrzáci sú zdraví, chromí chodia a slepí vidia. A oslavovali Boha Izraela.
Ježiš si zavolal učeníkov a povedal im: „Ľúto mi je zástupu, lebo už tri dni zotrvávajú so mnou a nemajú čo jesť. Hladných ich nechcem poslať domov, aby nepoomdlievali po ceste.“ Učeníci mu odpovedali: „Kde vziať tu na pustatine toľko chleba, aby sme nasýtili taký veľký zástup?“ Ježiš sa spýtal: „Koľko chlebov máte?“ Odpovedali: „Sedem a niekoľko rybičiek.“ Nato rozkázal zástupom posadať si na zem. Vzal tých sedem chlebov aj ryby, vzdal vďaku, lámal a dával učeníkom a učeníci zástupom. Všetci jedli a nasýtili sa, ba nazbierali ešte sedem plných košov nalámaných zvyškov. ",,,,,,,,,,,,,,2025-06-28T17:27:28.292004+00:00,2025-06-28T17:27:28.292004+00:00,N,6,,1,0
19,sk,Mt,7,Štvrtok po 1. adventnej nedeli,"Mt7,21.24-27",Katolícky preklad (SSV),"Nie každý, kto mi hovorí: “Pane, Pane,” vojde do nebeského kráľovstva, ale iba ten, kto plní vôľu môjho Otca, ktorý je na nebesiach. A tak každý, kto počúva tieto moje slová a uskutočňuje ich, podobá sa múdremu mužovi, ktorý si postavil dom na skale. Spustil sa dážď, privalili sa vody, strhla sa víchrica a oborili sa na ten dom, ale dom sa nezrútil, lebo mal základy na skale. A každý, kto tieto moje slová počúva, ale ich neuskutočňuje, podobá sa hlúpemu mužovi, ktorý si postavil dom na piesku. Spustil sa dážď, privalili sa vody, strhla sa víchrica, oborili sa na ten dom a dom sa zrútil; zostalo z neho veľké rumovisko.""",,Jeruzalemská biblia,"Nie každý, kto mi hovorí: ‚Pane, Pane,‘ vojde do nebeského kráľovstva, ale iba ten, kto plní vôľu môjho Otca, ktorý je na nebesiach. Každý, kto počúva tieto moje slová a uskutočňuje ich, podobá sa múdremu človekovi, ktorý si postavil dom na skale. Spustil sa dážď, privalili sa vody, strhla sa víchrica a oborili sa na ten dom, ale nezrútil sa, lebo mal základy na skale. A každý, kto tieto moje slová počúva, ale nekoná ich, podobá sa hlúpemu človekovi, ktorý si postavil dom na piesku. Spustil sa dážď, privalili sa vody, strhla sa víchrica, oborili sa na ten dom a dom sa zrútil; zostalo z neho veľké rumovisko."" ",,Ekumenický preklad,"Nie každý, kto mi hovorí: ‚Pane, Pane!‘ vojde do nebeského kráľovstva, ale iba ten, kto plní vôľu môjho Otca, ktorý je v nebesiach. A tak každý, kto počúva tieto moje slová a plní ich, bude sa podobať múdremu mužovi, ktorý si postavil dom na skale. Spustil sa lejak, prihnali sa rieky, strhol sa víchor a oborili sa na ten dom, ale nespadol, lebo mal základy na skale. No každý, kto počúva tieto moje slová a neplní ich, bude sa podobať na hlúpeho muža, ktorý si postavil dom na piesku. Spustil sa lejak, prihnali sa rieky, strhol sa víchor a oborili sa na ten dom a dom padol a jeho zrúcanina bola veľká.“",,,,,,,,,,,,,,2025-06-28T17:29:12.222031+00:00,2025-06-28T17:29:12.222031+00:00,N,7,,1,0
20,sk,Mt,9,Piatok po 1. adventnej nedeli,"Mt9,27-31",Katolícky preklad (SSV),"Keď Ježiš odtiaľ odchádzal, išli za ním dvaja slepci a kričali: ""Syn Dávidov, zmiluj sa nad nami!"" Keď potom vošiel do domu, slepci prišli k nemu. Ježiš sa ich opýtal: ""Veríte, že to môžem urobiť?"" Oni mu odpovedali: ""Áno, Pane."" Tu sa dotkol ich očí a povedal: ""Nech sa vám stane, ako ste uverili."" A oči sa im otvorili. Ježiš im pohrozil: ""Ale nech sa to nik nedozvie!"" No oni šli a rozprávali o ňom po celom kraji.",,Jeruzalemská biblia,"Keď Ježiš odtiaľ odchádzal, išli za ním dvaja slepí a kričali: ""Syn Dávidov, zmiluj sa nad nami!"" Keď vošiel do domu, slepí prišli k nemu. Ježiš sa ich opýtal: ""Veríte, že to môžem urobiť?"" Oni mu odpovedali: ""Áno, Pane."" Nato sa dotkol ich očí a povedal: ""Nech sa vám stane podľa vašej viery!"" A oči sa im otvorili. Ježiš im pohrozil: ""Nech sa to nik nedozvie!"" No oni šli a rozprávali o ňom po celom kraji.",,Ekumenický preklad,"Keď Ježiš odtiaľ odchádzal, išli za ním dvaja slepci, ktorí volali: „Zmiluj sa nad nami, Syn Dávidov!“ Keď vstúpil do domu, slepci pristúpili k nemu a Ježiš sa ich spýtal: „Veríte, že to môžem urobiť?“ Odpovedali mu: „Áno, Pane.“ Nato sa dotkol ich očí a povedal: „Nech sa vám stane podľa vašej viery.“ Oči sa im otvorili a Ježiš ich prísne varoval: „Dbajte o to, aby sa to nikto nedozvedel.“ Oni však vyšli a rozniesli chýr o ňom po celom kraji.",,,,,,,,,,,,,,2025-06-28T17:30:17.140269+00:00,2025-06-28T17:30:17.140269+00:00,N,8,,1,0
21,sk,Mt,9,Sobota po 1. adventnej nedeli,"Mt9,35–10,1.5-8",Katolícky preklad (SSV),"A Ježiš chodil po všetkých mestách a dedinách, učil v ich synagógach, hlásal evanjelium o kráľovstve a uzdravoval každý neduh a každú chorobu. Keď videl zástupy, zľutoval sa nad nimi, lebo boli zmorené a sklesnuté ako ovce bez pastiera. Vtedy povedal svojim učeníkom: ""Žatva je veľká, ale robotníkov málo. Preto proste Pána žatvy, aby poslal robotníkov na svoju žatvu.""
Zvolal svojich dvanástich učeníkov a dal im moc nad nečistými duchmi, aby ich vyháňali a uzdravovali každý neduh a každú chorobu. Týchto dvanástich Ježiš vyslal prikázal im: ""Choďte radšej k ovciam strateným z domu Izraela! Choďte a hlásajte: “Priblížilo sa nebeské kráľovstvo.” Chorých uzdravujte, mŕtvych krieste, malomocných očisťujte, zlých duchov vyháňajte. Zadarmo ste dostali, zadarmo dávajte.""",,Jeruzalemská biblia,"Ježiš chodil po všetkých mestách a dedinách, učil v ich synagógach, hlásal evanjelium o kráľovstve a uzdravoval každú chorobu a každý neduh. Keď videl zástupy, bolo mu ich ľúto, lebo boli unavené a bezradné ako ovce bez pastiera. Vtedy povedal svojim učeníkom: ""Žatva je veľká, ale robotníkov je málo. Preto proste Pána žatvy, aby poslal robotníkov do svojej žatvy.""
Zvolal svojich dvanástich učeníkove a dal im moc nad nečistými duchmi, aby ich vyháňali a aby uzdravovali každú chorobu a každý neduh. Týchto dvanástich vyslal Ježiš a prikázal im: ""Choďte radšej k strateným ovciam z domu Izraela. Choďte a hlásajte: Priblížilo sa kráľovstvo nebeské. Chorých uzdravujte, mŕtvych krieste, malomocných očisťujte, diablov vyháňajte. Zadarmo ste dostali, zadarmo dávajte.""",,Ekumenický preklad,"Ježiš chodil po všetkých okolitých mestách a dedinách. Učil v ich synagógach, hlásal evanjelium o kráľovstve a uzdravoval každú chorobu a každý neduh. Pri pohľade na zástupy mu ich prišlo ľúto, lebo boli zbedačení a sklesnutí ako ovce bez pastiera. Vtedy povedal svojim učeníkom: „Žatva je síce veľká, ale robotníkov málo. Proste preto Pána žatvy, aby poslal robotníkov na svoju žatvu.“ 
Zvolal si dvanástich učeníkov a dal im moc nad nečistými duchmi, takže ich mohli vyháňať a uzdravovať každú chorobu a každý neduh.
Týchto Dvanástich vyslal Ježiš a prikázal im: ""Choďte radšej za ovcami, ktoré sa stratili z domu Izraela. Choďte a hlásajte: Priblížilo sa nebeské kráľovstvo. Chorých uzdravujte, mŕtvych krieste, malomocných očisťujte, démonov vyháňajte. Zadarmo ste dostali, zadarmo dávajte.""",,,,,,,,,,,,,,2025-06-28T17:34:56.876252+00:00,2025-06-28T17:34:56.876252+00:00,N,10,,1,0
